specimen_ID,digitizer,scale,x,y
,,,2763.5,990.833
,,,2574.167,869.5
,,,2495.5,900.167
DRA220815-017,CN,180.469,2847,936
,,175.285,2969.5,1135.5
,,186.604,2934.5,1150.5
,,,2789.5,1099.5
,,,2605.5,999.5
,,,2518.5,1038.5
DRA220815-019,CN,187.601,2830,849
,,181.797,2974.167,1043.167
,,175.345,2946.167,1072.5
,,,2776.833,1031.167
,,,2551.5,932.5
,,,2488.833,992.5
DRA220815-020,CN,172.743,2826.167,1030.5
,,181.797,2915.5,1242.5
,,176.479,2874.167,1258.5
,,,2740.833,1179.833
,,,2556.833,1023.833
,,,2470.167,1039.833
DRA220815-021,CN,181.706,2945,831
,,173.416,3091.5,1022.5
,,184.329,3056.833,1045.167
,,,2891.5,1002.5
,,,2683.5,906.5
,,,2595.5,953.167
DRA220815-023,CN,186.387,2605,700
,,178.18,2715.5,910.5
,,190.851,2688.5,922.5
,,,2531.5,850.5
,,,2348.5,731.5
,,,2271.5,764.5
DRA220815-024,CN,182.464,2969.5,870.5
,,170.66,3031.5,1091.5
,,173.416,2987.5,1105.5
,,,2860.5,1003.5
,,,2693.5,835.5
,,,2611.5,847.5
CAP220712-009,HJ,178,2826,1064
,,180.01111,2913.16675,1225.16663
,,164.01219,2887.83325,1253.16663
,,,2759.83325,1181.16663
,,,2605.16675,1070.5
,,,2531.83325,1091.83337
CAP220712-010,HJ,178,2929.5,825.5
,,178,3059.5,1037.5
,,168.0119,3027.5,1061.5
,,,2859.5,991.5
,,,2643.5,865.5
,,,2577.5,905.5
CAP220712-014,HJ,172.01163,2735,970
,,180,2790.83325,1156.83337
,,182.01099,2814.83325,1146.16663
,,,2685.5,1072.83337
,,,2529.5,968.83331
,,,2466.83325,995.5
DRA220717-001,HJ,186.38669,3030.5,871.5
,,180.62392,3062.5,1165.5
,,165.43579,3020.5,1191.5
,,,2872.5,1051.5
,,,2684.5,809.5
,,,2578.5,821.5
DRA220815-010,HJ,180.89776,2868,806
,,182.70194,2971.5,997.5
,,170.423,2945.5,1009.5
,,,2783.5,947.5
,,,2601.5,845.5
,,,2521.5,875.5
DRA220815-011,HJ,182.53767,2771.5,698.5
,,174.4133,2853.5,890.5
,,178.40404,2827.5,910.5
,,,2689.5,850.5
,,,2489.5,716.5
,,,2413.5,738.5
DRA220815-012,HJ,171.65663,3007,759
,,177.40631,3051.5,968.5
,,165.43579,3024.5,983.5
,,,2901.5,878.5
,,,2748.5,719.5
,,,2667.5,719.5
DRA220815-013,HJ,178.40404,2844.5,851.5
,,180.54362,2950.5,1047.5
,,168.58232,2916.5,1067.5
,,,2764.5,995.5
,,,2572.5,871.5
,,,2494.5,901.5
DRA220815-017,HJ,182.70194,2849,937
,,178.40404,2960.5,1130.5
,,166.30093,2938.5,1156.5
,,,2784.5,1100.5
,,,2602.5,1002.5
,,,2518.5,1038.5
DRA220815-019,HJ,176.55594,2833,850
,,180.39956,2970.5,1041.5
,,180.27756,2934.5,1071.5
,,,2782.5,1031.5
,,,2552.5,935.5
,,,2484.5,991.5
DRA220815-020,HJ,180.89776,2827,1038
,,184.53184,2922.5,1213.5
,,172.29045,2882.5,1255.5
,,,2738.5,1187.5
,,,2554.5,1029.5
,,,2470.5,1041.5
DRA220815-021,HJ,180.62392,2950,835
,,168.42803,3087.5,1020.5
,,177.40631,3047.5,1044.5
,,,2893.5,1006.5
,,,2681.5,910.5
,,,2597.5,956.5
DRA220815-023,HJ,178.54971,2604.5,705.5
,,190.67249,2714.5,913.5
,,180.27756,2690.5,927.5
,,,2530.5,853.5
,,,2346.5,735.5
,,,2270.5,765.5
DRA220815-024,HJ,177.40631,2969.5,871.5
,,174.4133,3027.5,1093.5
,,165.43579,2995.5,1109.5
,,,2859.5,1007.5
,,,2691.5,841.5
,,,2617.5,857.5
CAP220712-010 ,LD,172,2936,812
,,168,3063.5,1027.5
,,184,3035.5,1051.5
,,,2867.5,983.5
,,,2643.5,859.5
,,,2575.5,911.5
DRA220717-001 ,LD,169.186,720,576
,,181.1,1031.5,527.5
,,176.4,1049.5,581.5
,,,887.5,749.5
,,,653.5,923.5
,,,665.5,1037.5
DRA220815-024 ,LD,179.1,1896,236
,,169.1,2143.5,267.5
,,180.4,2163.5,315.5
,,,1983.5,399.5
,,,1767.5,475.5
,,,1739.5,563.5
DRA220815-019 ,LD,153.154,2084,276
,,172.7,2327.5,287.5
,,173.5,2339.5,327.5
,,,2199.5,431.5
,,,1955.5,539.5
,,,1971.5,635.5
DRA220815-023 ,LD,169.7,1828,336
,,185,2055.5,383.5
,,176.4,2051.5,427.5
,,,1903.5,507.5
,,,1679.5,559.5
,,,1651.5,643.5
DRA220815-021 ,LD,155.59,2160,172
,,160.8,2387.5,179.5
,,170.4,2387.5,227.5
,,,2251.5,311.5
,,,2035.5,419.5
,,,2003.5,527.5
DRA220815-020 ,LD,172.6,2212,396
,,172.7,2455.5,399.5
,,177.1,2423.5,487.5
,,,2275.5,563.5
,,,2035.5,591.5
,,,1987.5,671.5
CAP220712-014 ,LD,167.1,2132,428
,,172,2315.5,467.5
,,172,2299.5,487.5
,,,2167.5,527.5
,,,1979.5,587.5
,,,1967.5,647.5
DRA220815-011 ,LD,170.1,1928,228
,,168.4,2139.5,271.5
,,177.1,2135.5,311.5
,,,1991.5,383.5
,,,1763.5,435.5
,,,1723.5,523.5
DRA220815-010 ,LD,173.2,2084,224
,,172.7,2299.5,243.5
,,180.1,2299.5,295.5
,,,2131.5,371.5
,,,1931.5,435.5
,,,1891.5,523.5
DRA220815-012 ,LD,164.8,2124,88
,,160.8,2327.5,167.5
,,156.5,2303.5,211.5
,,,2167.5,239.5
,,,1935.5,247.5
,,,1879.5,315.5
DRA220815-013 ,LD,168.8,2096,260
,,168.4,2315.5,299.5
,,172.2,2315.5,351.5
,,,2159.5,419.5
,,,1939.5,479.5
,,,1907.5,571.5
DRA220815-017 ,LD,164.1,2172,316
,,169.7,2403.5,343.5
,,170.3,2387.5,379.5
,,,2259.5,463.5
,,,2047.5,535.5
,,,2019.5,623.5
CAP220712-009 ,LD,168,2252,424
,,172,2447.5,459.5
,,197,2435.5,479.5
,,,2291.5,543.5
,,,2099.5,583.5
,,,2071.5,651.5
CAP220712-009,Oliver,180,2828,1060
,,188,2907.5,1223.5
,,184,2891.5,1259.5
,,,2763.5,1183.5
,,,2611.5,1075.5
,,,2535.5,1091.5
CAP220712-010,Oliver,188.043,2936,828
,,192,3063.5,1027.5
,,192.167,3031.5,1067.5
,,,2867.5,987.5
,,,2639.5,859.5
,,,2575.5,907.5
CAP220712-014,Oliver,176,2736,972
,,180.178,2831.5,1151.5
,,180.044,2803.5,1151.5
,,,2695.5,1075.5
,,,2539.5,975.5
,,,2467.5,991.5
DRA220717-001,Oliver,176.726,3027.5,863.5
,,169.186,3071.5,1183.5
,,180.71,3023.5,1191.5
,,,2871.5,1039.5
,,,2683.5,815.5
,,,2579.5,819.5
DRA220815-010,Oliver,181.108,2868,804
,,176.726,2979.5,995.5
,,168.76,2955.5,1023.5
,,,2787.5,939.5
,,,2607.5,843.5
,,,2531.5,875.5
DRA220815-011,Oliver,172.418,2763.5,695.5
,,181.108,2859.5,891.5
,,181.593,2827.5,907.5
,,,2691.5,851.5
,,,2499.5,711.5
,,,2415.5,739.5
DRA220815-012,Oliver,160.449,3008,760
,,168.428,3059.5,971.5
,,168.76,3015.5,983.5
,,,2915.5,887.5
,,,2743.5,711.5
,,,2663.5,723.5
DRA220815-013,Oliver,177.133,2848,852
,,189.061,2959.5,1063.5
,,188.68,2923.5,1067.5
,,,2771.5,999.5
,,,2571.5,875.5
