specimen_ID,digitizer,scale,x,y
,,180.70971,2884.66675,948.66663
,,,2940.66675,846
,,,3004.66675,786
,,,2963.33325,668.66675
,,,2907.33325,638
,,,2886,658
,,,2832.66675,824.6665
,,,2736.66675,940.66663
,,,2750,1031.33337
,,,2715.33325,1156.66663
,,,2342.33325,1364
,,,2559.66675,1017.33337
,,,2494.33325,949.33337
,,,2482.33325,910.66663
,,,2694.33325,695.66675
,,,2397,882.33337
,,,2257,1285
,,,2383.66675,815.66675
CAP220712-009,LH,176.012,3277,1884
,,174.031,2862.5,1625.5
,,179,2898.5,1709.5
,,,2961.5,1772.5
,,,3030.5,1805.5
,,,3048.5,1895.5
,,,3027.5,1934.5
,,,2988.5,1940.5
,,,2883.5,1829.5
,,,2781.5,1763.5
,,,2766.5,1685.5
,,,2697.5,1595.5
,,,2340.5,1547.5
,,,2613.5,1745.5
,,,2580.5,1820.5
,,,2577.5,1850.5
,,,2820.5,1973.5
,,,2532.5,1898.5
,,,2292.5,1610.5
,,,2541.5,1943.5
CAP220712-010,LH,171.813,3312,1984
,,164.071,2899.5,1583.5
,,172.461,2907.5,1683.5
,,,2979.5,1775.5
,,,3055.5,1835.5
,,,3039.5,1915.5
,,,2987.5,1999.5
,,,2955.5,1991.5
,,,2871.5,1835.5
,,,2767.5,1719.5
,,,2767.5,1627.5
,,,2707.5,1503.5
,,,2303.5,1355.5
,,,2575.5,1659.5
,,,2507.5,1723.5
,,,2503.5,1751.5
,,,2751.5,1975.5
,,,2415.5,1791.5
,,,2235.5,1403.5
,,,2431.5,1863.5
DRA220712-014,LH,176,3112,1906
,,174.031,2766.5,1620.5
,,178.912,2772.5,1695.5
,,,2835.5,1767.5
,,,2907.5,1815.5
,,,2892.5,1923.5
,,,2853.5,1947.5
,,,2826.5,1938.5
,,,2754.5,1824.5
,,,2661.5,1740.5
,,,2652.5,1662.5
,,,2598.5,1557.5
,,,2280.5,1452.5
,,,2502.5,1698.5
,,,2466.5,1770.5
,,,2466.5,1797.5
,,,2667.5,1950.5
,,,2394.5,1830.5
,,,2217.5,1518.5
,,,2403.5,1887.5
DRA220712-001,LH,167.062,3283.5,2303.5
,,173.901,2883.5,1691.5
,,176,2855.5,1831.5
,,,2923.5,1963.5
,,,2991.5,2043.5
,,,2915.5,2219.5
,,,2855.5,2235.5
,,,2827.5,2207.5
,,,2783.5,2015.5
,,,2679.5,1851.5
,,,2699.5,1719.5
,,,2655.5,1547.5
,,,2235.5,1283.5
,,,2443.5,1739.5
,,,2359.5,1811.5
,,,2335.5,1859.5
,,,2567.5,2147.5
,,,2211.5,1891.5
,,,2111.5,1347.5
,,,2203.5,1959.5
DRA220810-010-1,LH,176.012,3388,2176
,,174.031,2991.5,1759.5
,,165.782,3011.5,1859.5
,,,3071.5,1951.5
,,,3147.5,2011.5
,,,3123.5,2147.5
,,,3071.5,2163.5
,,,3035.5,2147.5
,,,2967.5,1999.5
,,,2879.5,1915.5
,,,2871.5,1807.5
,,,2819.5,1687.5
,,,2455.5,1543.5
,,,2691.5,1843.5
,,,2639.5,1927.5
,,,2631.5,1955.5
,,,2859.5,2151.5
,,,2559.5,1979.5
,,,2371.5,1607.5
,,,2559.5,2047.5
DRA220815-011,LH,169.022,3043.5,2163.5
,,175.331,2699.5,1683.5
,,178.456,2695.5,1775.5
,,,2743.5,1887.5
,,,2815.5,1975.5
,,,2779.5,2059.5
,,,2723.5,2075.5
,,,2691.5,2063.5
,,,2651.5,1919.5
,,,2563.5,1791.5
,,,2575.5,1707.5
,,,2539.5,1579.5
,,,2183.5,1379.5
,,,2395.5,1723.5
,,,2335.5,1779.5
,,,2323.5,1815.5
,,,2515.5,2023.5
,,,2239.5,1839.5
,,,2107.5,1447.5
,,,2243.5,1907.5
DRA220815-012,LH,165.908,3016,2192
,,172.031,2783.5,1671.5
,,170.807,2755.5,1775.5
,,,2783.5,1879.5
,,,2839.5,1971.5
,,,2775.5,2071.5
,,,2719.5,2071.5
,,,2695.5,2047.5
,,,2695.5,1891.5
,,,2627.5,1751.5
,,,2663.5,1675.5
,,,2651.5,1551.5
,,,2355.5,1263.5
,,,2483.5,1627.5
,,,2403.5,1667.5
,,,2383.5,1699.5
,,,2539.5,1975.5
,,,2311.5,1711.5
,,,2267.5,1307.5
,,,2275.5,1767.5
DRA220815-013,LH,176.012,3051.5,2247.5
,,174.031,2767.5,1747.5
,,179,2743.5,1855.5
,,,2787.5,1955.5
,,,2847.5,2047.5
,,,2791.5,2163.5
,,,2723.5,2179.5
,,,2699.5,2143.5
,,,2655.5,1983.5
,,,2595.5,1859.5
,,,2627.5,1767.5
,,,2603.5,1623.5
,,,2267.5,1371.5
,,,2419.5,1747.5
,,,2351.5,1803.5
,,,2327.5,1839.5
,,,2507.5,2091.5
,,,2247.5,1843.5
,,,2171.5,1419.5
,,,2231.5,1911.5
DRA220815-017,LH,171.013,3252,2112
,,165.208,2851.5,1727.5
,,172,2863.5,1807.5
,,,2931.5,1927.5
,,,3007.5,1971.5
,,,3003.5,2091.5
,,,2947.5,2143.5
,,,2899.5,2119.5
,,,2839.5,1987.5
,,,2723.5,1859.5
,,,2735.5,1791.5
,,,2671.5,1659.5
,,,2291.5,1507.5
,,,2535.5,1815.5
,,,2479.5,1883.5
,,,2467.5,1919.5
,,,2727.5,2111.5
,,,2391.5,1963.5
,,,2195.5,1591.5
,,,2399.5,2027.5
DRA220815-019,LH,176.012,3400,2032
,,174.031,2923.5,1647.5
,,179,2947.5,1755.5
,,,3035.5,1851.5
,,,3103.5,1899.5
,,,3123.5,2007.5
,,,3067.5,2071.5
,,,3019.5,2043.5
,,,2931.5,1895.5
,,,2803.5,1799.5
,,,2795.5,1707.5
,,,2715.5,1599.5
,,,2315.5,1483.5
,,,2623.5,1751.5
,,,2567.5,1823.5
,,,2563.5,1867.5
,,,2847.5,2055.5
,,,2503.5,1923.5
,,,2243.5,1547.5
,,,2499.5,1979.5
DRA220815-020,LH,176.012,3028,2252
,,174.031,2707.5,1763.5
,,179,2707.5,1855.5
,,,2755.5,1979.5
,,,2807.5,2051.5
,,,2763.5,2139.5
,,,2703.5,2159.5
,,,2675.5,2135.5
,,,2639.5,1991.5
,,,2555.5,1863.5
,,,2575.5,1775.5
,,,2543.5,1639.5
,,,2183.5,1411.5
,,,2367.5,1779.5
,,,2303.5,1839.5
,,,2287.5,1863.5
,,,2495.5,2095.5
,,,2215.5,1879.5
,,,2103.5,1487.5
,,,2203.5,1931.5
DRA220815-021,LH,176.012,3348,2184
,,174.031,2979.5,1747.5
,,179,2987.5,1851.5
,,,3039.5,1947.5
,,,3115.5,2015.5
,,,3079.5,2135.5
,,,3011.5,2151.5
,,,2979.5,2127.5
,,,2935.5,1987.5
,,,2839.5,1879.5
,,,2855.5,1787.5
,,,2811.5,1659.5
,,,2423.5,1471.5
,,,2647.5,1827.5
,,,2579.5,1875.5
,,,2575.5,1911.5
,,,2799.5,2115.5
,,,2499.5,1931.5
,,,2343.5,1547.5
,,,2495.5,1975.5
DRA220815-023,LH,176.012,3100,2208
,,174.031,2675.5,1795.5
,,179,2691.5,1895.5
,,,2759.5,1995.5
,,,2819.5,2051.5
,,,2815.5,2167.5
,,,2763.5,2191.5
,,,2715.5,2155.5
,,,2659.5,2027.5
,,,2547.5,1915.5
,,,2551.5,1827.5
,,,2495.5,1707.5
,,,2127.5,1551.5
,,,2367.5,1851.5
,,,2299.5,1919.5
,,,2287.5,1947.5
,,,2531.5,2143.5
,,,2223.5,1967.5
,,,2059.5,1615.5
,,,2235.5,2031.5
DRA220815-024,LH,176.012,3235.5,2143.5
,,174.031,2883.5,1683.5
,,179,2879.5,1795.5
,,,2939.5,1899.5
,,,2999.5,1963.5
,,,2951.5,2083.5
,,,2907.5,2103.5
,,,2875.5,2091.5
,,,2827.5,1915.5
,,,2735.5,1799.5
,,,2751.5,1715.5
,,,2711.5,1587.5
,,,2339.5,1387.5
,,,2555.5,1727.5
,,,2491.5,1795.5
,,,2483.5,1831.5
,,,2699.5,2047.5
,,,2399.5,1867.5
,,,2247.5,1455.5
,,,2387.5,1927.5
CAP220712-009,CN,177.025,3270,1881
,,189.024,2857.5,1624.5
,,186.024,2897.5,1708.5
,,,2965.5,1768.5
,,,3035.5,1806.5
,,,3049.5,1890.5
,,,2995.5,1940.5
,,,2985.5,1940.5
,,,2883.5,1826.833
,,,2780.833,1758.833
,,,2767.5,1688.167
,,,2700.833,1598.833
,,,2343.5,1552.167
,,,2614.167,1748.167
,,,2580.833,1826.833
,,,2578.167,1850.833
,,,2824.833,1968.167
,,,2522.167,1897.5
,,,2295.5,1613.5
,,,2528.833,1937.5
CAP220712-010,CN,178.011,3316,1979
,,200.01,2897.5,1590.5
,,174.011,2911.5,1680.5
,,,2979.5,1776.5
,,,3055.5,1837.5
,,,3038.167,1952.167
,,,2976.833,2004.167
,,,2954.167,1989.5
,,,2871.5,1831.833
,,,2768.833,1717.167
,,,2768.833,1633.167
,,,2710.167,1507.833
,,,2302.167,1347.833
,,,2572.833,1654.5
,,,2511.5,1723.833
,,,2506.167,1753.167
,,,2752.833,1975.833
,,,2415.5,1786.5
,,,2234.167,1406.5
,,,2414.167,1845.167
CAP220712-014,CN,180.044,3111,1907
,,172.012,2763.167,1621.5
,,186.097,2775.167,1696.167
,,,2835.167,1769.5
,,,2908.5,1814.833
,,,2897.833,1921.5
,,,2851.167,1948.167
,,,2825.833,1936.167
,,,2756.5,1822.833
,,,2661.833,1736.167
,,,2659.167,1664.167
,,,2603.167,1564.167
,,,2277.833,1452.167
,,,2504.5,1697.5
,,,2472.5,1770.833
,,,2468.5,1801.5
,,,2664.5,1945.5
,,,2400.5,1837.5
,,,2216.5,1516.167
,,,2391.167,1876.167
DRA220717-001,CN,181.466,3282,2299
,,178.474,2873.5,1704.5
,,192.315,2861.5,1826.5
,,,2927.5,1964.5
,,,3005.5,2046.5
,,,2927.5,2216.5
,,,2861.5,2236.5
,,,2827.5,2200.5
,,,2781.5,2012.5
,,,2675.5,1846.5
,,,2699.5,1716.5
,,,2653.5,1544.5
,,,2233.5,1276.5
,,,2439.5,1738.5
,,,2353.5,1826.5
,,,2339.5,1860.5
,,,2573.5,2144.5
,,,2217.5,1880.5
,,,2111.5,1338.5
,,,2205.5,1948.5
DRA220815-010,CN,188.597,3390,2163
,,189.676,2992.833,1754.833
,,181.466,3007.5,1856.167
,,,3076.833,1952.167
,,,3148.833,2009.5
,,,3135.5,2128.167
,,,3071.5,2162.833
,,,3031.5,2141.5
,,,2959.5,1992.167
,,,2874.167,1902.833
,,,2863.5,1784.167
,,,2819.5,1681.5
,,,2451.5,1537.5
,,,2692.833,1837.5
,,,2639.5,1912.167
,,,2628.833,1944.167
,,,2850.167,2134.833
,,,2555.5,1981.5
,,,2374.167,1609.5
,,,2556.833,2036.167
DRA220815-011,CN,184.391,3052,2157
,,189.676,2695.5,1681.833
,,187.385,2692.833,1775.167
,,,2748.833,1881.833
,,,2818.167,1963.167
,,,2783.5,2053.833
,,,2722.167,2075.167
,,,2698.167,2056.5
,,,2651.5,1908.5
,,,2563.5,1792.5
,,,2572.833,1704.5
,,,2539.5,1583.167
,,,2183.5,1378.5
,,,2392.833,1723.833
,,,2332.833,1778.5
,,,2324.833,1813.167
,,,2502.167,2011.833
,,,2242.167,1849.167
,,,2111.5,1439.833
,,,2242.167,1905.167
DRA220815-012,CN,188.449,3022,2194
,,188.521,2783.5,1671.5
,,178.34,2757.5,1775.5
,,,2787.5,1877.5
,,,2841.5,1969.5
,,,2789.5,2059.5
,,,2716.833,2073.833
,,,2694.167,2041.833
,,,2686.167,1887.167
,,,2628.833,1753.167
,,,2660.833,1670.5
,,,2652.833,1548.833
,,,2348.833,1245.167
,,,2482.167,1629.167
,,,2402.167,1670.5
,,,2383.5,1695.833
,,,2532.833,1965.167
,,,2292.833,1705.167
,,,2267.5,1295.5
,,,2278.167,1759.833
DRA220815-013,CN,180.71,3059.167,2244.833
,,185.456,2756.5,1746.167
,,190.444,2745.833,1851.5
,,,2793.833,1958.167
,,,2856.5,2047.5
,,,2797.833,2155.5
,,,2725.833,2178.167
,,,2701.833,2143.5
,,,2653.833,1983.5
,,,2595.167,1850.167
,,,2623.167,1756.833
,,,2597.833,1619.5
,,,2260.5,1361.833
,,,2420.5,1736.5
,,,2351.167,1805.833
,,,2332.5,1840.5
,,,2512.5,2083.167
,,,2243.167,1845.833
,,,2172.5,1413.833
,,,2235.167,1907.5
DRA220815-017,CN,168.668,3248,2110
,,185.389,2845.5,1727.5
,,188.521,2861.5,1809.5
,,,2938.167,1919.167
,,,3002.167,1968.5
,,,2994.167,2096.5
,,,2943.5,2143.167
,,,2899.5,2113.833
,,,2840.833,1967.167
,,,2726.167,1856.5
,,,2731.5,1776.5
,,,2674.167,1656.5
,,,2284.833,1499.833
,,,2538.167,1814.5
,,,2483.5,1886.5
,,,2471.5,1923.833
,,,2714.167,2113.167
,,,2388.833,1961.167
,,,2208.833,1587.5
,,,2406.167,2027.833
DRA220815-019,CN,182.617,3402,2026
,,180.4,2919.5,1649.5
,,188.68,2948.833,1753.5
,,,3038.167,1845.5
,,,3112.833,1889.5
,,,3124.833,2000.167
,,,3068.833,2064.167
,,,3020.833,2038.833
,,,2927.5,1893.5
,,,2804.833,1797.5
,,,2792.833,1709.5
,,,2715.5,1598.833
,,,2304.833,1480.167
,,,2619.5,1753.5
,,,2575.5,1829.5
,,,2570.167,1866.833
,,,2830.167,2044.167
,,,2482.167,1901.5
,,,2244.833,1545.5
,,,2504.833,1972.167
DRA220815-020,CN,176.556,3028,2245
,,176.726,2705.5,1759.167
,,184.61,2702.833,1860.5
,,,2756.167,1971.167
,,,2809.5,2044.5
,,,2764.167,2139.167
,,,2700.167,2160.5
,,,2677.5,2137.833
,,,2635.5,1990.5
,,,2551.5,1867.5
,,,2573.5,1769.5
,,,2546.5,1642.5
,,,2177.5,1404.5
,,,2370.5,1774.5
,,,2306.5,1836.5
,,,2288.5,1862.5
,,,2490.5,2090.5
,,,2214.5,1882.5
,,,2104.5,1479.5
,,,2203.5,1929.5
DRA220815-021,CN,190.515,3350.167,2184.167
,,183.614,2986.167,1754.833
,,179.402,2988.833,1849.5
,,,3046.167,1940.167
,,,3115.5,2010.833
,,,3083.5,2121.5
,,,3015.5,2149.5
,,,2984.833,2128.167
,,,2932.833,1985.5
,,,2844.833,1882.833
,,,2855.5,1781.5
,,,2818.167,1664.5
,,,2423.5,1474.5
,,,2650.167,1819.833
,,,2586.167,1883.167
,,,2578.167,1911.167
,,,2800.833,2108.5
,,,2495.5,1911.167
,,,2347.5,1543.833
,,,2502.167,1980.5
DRA220815-023,CN,187.267,3098,2210
,,178.281,2679.5,1791.167
,,194.579,2692.833,1893.833
,,,2760.833,1989.833
,,,2830.167,2044.5
,,,2820.833,2160.5
,,,2764.833,2189.833
,,,2714.167,2159.167
,,,2658.167,2025.5
,,,2551.5,1918.833
,,,2551.5,1827.167
,,,2496.833,1705.833
,,,2122.167,1538.5
,,,2362.167,1851.5
,,,2302.167,1922.5
,,,2292.833,1950.5
,,,2526.167,2135.5
,,,2221.167,1971.167
