specimen_ID,digitizer,scale,x,y
,,,1155.698,850.905
,,,1452.934,946.625
FJ170709-063,AZ,144.031,1852,544
,,138.033,1473.5,535.5
,,141.128,1513.5,581.5
,,141.032,1597.5,591.5
,,,1663.5,587.5
,,,1711.5,659.5
,,,1699.5,701.5
,,,1682.5,707.5
,,,1567.5,668.5
,,,1467.5,660.5
,,,1435.5,623.5
,,,1351.5,594.5
,,,1093.5,692.5
,,,1352.5,729.5
,,,1363.5,788.5
,,,1378.5,807.5
,,,1583.5,794.5
,,,1354.5,864.5
,,,1085.5,763.5
,,,1379.5,887.5
FJ170712-011,AZ,141.032,1797,414
,,144.031,1436.5,440.5
,,144.031,1484.833,479.833
,,138,1558.167,487.833
,,,1627.5,478.5
,,,1682.167,541.167
,,,1672.833,586.5
,,,1648.833,591.833
,,,1547.5,563.833
,,,1444.833,567.833
,,,1391.5,522.5
,,,1308.833,497.167
,,,1072.833,613.167
,,,1332.833,626.5
,,,1346.167,686.5
,,,1360.833,713.167
,,,1554.167,685.167
,,,1352.833,759.833
,,,1075.5,678.5
,,,1371.5,775.833
FJ190711-001,AZ,147.031,1962,201
,,138.13,1403.5,206.5
,,141,1484.5,269.5
,,141.032,1616.5,281.5
,,,1688.5,269.5
,,,1781.5,392.5
,,,1766.5,455.5
,,,1727.5,461.5
,,,1592.5,410.5
,,,1427.5,410.5
,,,1343.5,332.5
,,,1211.5,302.5
,,,869.5,461.5
,,,1244.5,509.5
,,,1265.5,614.5
,,,1286.5,644.5
,,,1583.5,608.5
,,,1259.5,734.5
,,,869.5,575.5
,,,1298.5,764.5
FJ190827-007,AZ,144.031,2142,1014
,,144,1663.5,1041.5
,,147.031,1743.5,1097.5
,,144.031,1829.5,1115.5
,,,1897.5,1093.5
,,,1971.5,1185.5
,,,1965.5,1229.5
,,,1937.5,1231.5
,,,1811.5,1195.5
,,,1677.5,1199.5
,,,1623.5,1141.5
,,,1517.5,1109.5
,,,1213.5,1249.5
,,,1537.5,1275.5
,,,1549.5,1367.5
,,,1565.5,1381.5
,,,1827.5,1343.5
,,,1553.5,1447.5
,,,1225.5,1333.5
,,,1587.5,1471.5
FJ190827-009,AZ,142.014,2112,1236
,,146,1683.5,1255.5
,,146,1741.5,1303.5
,,142.014,1835.5,1307.5
,,,1909.5,1293.5
,,,1965.5,1385.5
,,,1961.5,1423.5
,,,1927.5,1433.5
,,,1807.5,1399.5
,,,1685.5,1399.5
,,,1639.5,1347.5
,,,1547.5,1323.5
,,,1259.5,1443.5
,,,1557.5,1471.5
,,,1557.5,1541.5
,,,1577.5,1563.5
,,,1817.5,1535.5
,,,1555.5,1621.5
,,,1257.5,1523.5
,,,1585.5,1657.5
FJ190827-017,AZ,138.232,2004,1110
,,148.216,1595.5,1133.5
,,140.357,1643.5,1187.5
,,142.225,1733.5,1187.5
,,,1805.5,1171.5
,,,1863.5,1247.5
,,,1851.5,1289.5
,,,1817.5,1301.5
,,,1711.5,1269.5
,,,1595.5,1271.5
,,,1549.5,1233.5
,,,1453.5,1201.5
,,,1173.5,1319.5
,,,1463.5,1341.5
,,,1473.5,1413.5
,,,1485.5,1433.5
,,,1719.5,1403.5
,,,1477.5,1485.5
,,,1165.5,1389.5
,,,1503.5,1517.5
JG170708-021,AZ,140.014,1692,1412
,,136.059,1301.5,1445.5
,,138.014,1361.5,1483.5
,,144.056,1445.5,1493.5
,,,1503.5,1479.5
,,,1553.5,1539.5
,,,1547.5,1587.5
,,,1523.5,1593.5
