specimen_ID,digitizer,scale,x,y
,,140.057,1438.167,712.167
,,,1340.833,707.5
,,,1177.5,674.833
,,,1134.167,711.5
FJ170712-011,Samuel,139.004,1137.5,545.5
,,138.033,1275.5,626.5
,,138.033,1259.5,650.5
,,,1156.5,662.5
,,,984.5,658.5
,,,946.5,702.5
FJ190711-001,Samuel,139.004,1194,498
,,139,1407.5,622.5
,,141.004,1396.5,656.5
,,,1222.5,683.5
,,,997.5,682.5
,,,952.5,763.5
FJ190827-007,Samuel,139.004,1577,907
,,141,1728.833,1045.167
,,139,1710.167,1069.167
,,,1559.5,1049.167
,,,1367.5,998.5
,,,1315.5,1050.5
FJ190827-009,Samuel,201.04,1770,313
,,200.062,1971.5,483.167
,,204.039,1952.833,513.833
,,,1771.5,504.5
,,,1496.833,449.833
,,,1419.5,513.833
FJ190827-017,Samuel,142.032,1711,593
,,140.014,1865.5,671.5
,,139.004,1858.5,693.5
,,,1737.5,710.5
,,,1544.5,712.5
,,,1513.5,761.5
JG170708-021,Samuel,140.014,1242,549
,,139.014,1368.167,652.167
,,140.004,1352.167,674.167
,,,1242.167,672.833
,,,1078.833,644.167
,,,1036.167,682.833
JG170712-022,Samuel,140.014,1219,644
,,139.014,1356.5,742.5
,,138.014,1345.833,762.5
,,,1228.5,768.5
,,,1057.167,750.5
,,,1019.833,793.833
JG170712-028,Samuel,140,1265,621
,,139.004,1405.833,725.167
,,139.032,1389.167,748.5
,,,1275.167,748.5
,,,1107.167,723.167
,,,1061.167,761.167
JG170712-049,Samuel,139.014,1257,469
,,138.014,1407.833,573.833
,,141.032,1391.833,593.833
,,,1267.167,597.167
,,,1091.167,568.5
,,,1047.833,619.167
JL190619-006,Samuel,139.004,1212,499
,,142.004,1391.5,619.833
,,140.014,1375.5,649.167
,,,1210.833,660.5
,,,993.5,638.5
,,,943.5,704.5
AOI190709-001,CJS,140,1073,488
,,144,1184.5,588.167
,,141.004,1165.833,605.5
,,,1068.5,598.833
,,,919.167,566.833
,,,872.5,600.167
FJ170709-063,CJS,136.059,1334,595
,,139.014,1455.5,696.167
,,140.014,1439.5,713.5
,,,1344.833,708.167
,,,1178.167,677.5
,,,1136.833,709.5
FJ170712-011,CJS,138.014,1140,550
,,141.032,1274.833,629.5
,,141.057,1258.833,652.167
,,,1160.167,666.833
,,,984.167,661.5
,,,948.167,701.5
FJ190711-001,CJS,140.004,1198,502
,,140,1411.5,629.5
,,141,1395.5,665.5
,,,1221.5,689.5
,,,995.5,687.5
,,,951.5,765.5
FJ190827-007,CJS,144,1580,911
,,143.003,1727.5,1049.5
,,142.004,1711.5,1072.167
,,,1562.167,1050.833
,,,1368.833,1001.5
,,,1315.5,1052.167
FJ190827-009,CJS,204.088,1772,316
,,208.154,1973.5,489.5
,,206.119,1953.5,513.5
,,,1769.5,501.5
,,,1499.5,455.5
,,,1423.5,515.5
FJ190827-017,CJS,141.057,1712,589
,,141.014,1866.167,675.833
,,142.032,1860.833,697.167
,,,1740.833,714.5
,,,1542.167,714.5
,,,1515.5,765.167
JG170708-021,CJS,140.014,1244,551
,,137.015,1366.5,653.833
,,142.014,1350.5,676.5
,,,1239.833,676.5
,,,1079.833,645.833
,,,1035.833,683.167
JG170712-022,CJS,138.033,1219,647
,,139.032,1359.167,746.833
,,138.058,1341.833,765.5
